dataset_name,task_id,method,n_rows,mean_true_label,mean_pred_label,mean_target_label,mean_n_features,mean_n_train,mean_n_test,mean_runtime_seconds,mean_explanation_model_calls,mean_evaluation_model_calls,mean_total_model_calls,mean_n_model_calls,mean_number_of_model_calls,mean_background_size,mean_max_background,mean_test_accuracy,mean_test_balanced_accuracy,mean_p0,mean_deletion_auc,mean_deletion_drop_auc,mean_insertion_auc,mean_comprehensiveness,mean_sufficiency,mean_faithfulness_correlation,mean_faithfulness_delta_mean,mean_faithfulness_delta_abs_mean,mean_combined_score,mean_top_k_jaccard,n_seeds,status_ok,status_skipped,status_error,metric_direction
banknote-authentication,10093,bayesian_hyb_fpde,500,0.426,0.426,0.426,4.0,1234.0,138.0,0.05282383507399204,1.0,15.0,16.0,16.0,16.0,0.0,,0.9927536231884058,0.9935064935064934,0.9881661637928648,0.5758501210700202,0.4123160427228445,0.886032882375066,0.42344348469132687,0.0,0.5415999999999999,0.15160338453668093,0.1531478867316379,0.6491744625489553,1.0,10,500,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,500,0.426,0.426,0.426,4.0,1234.0,138.0,0.059940065795994035,50.0,15.0,65.0,65.0,65.0,0.0,,0.9927536231884058,0.9935064935064934,0.9881661637928648,0.5761042661237913,0.41206189766907353,0.8863506728302598,0.42344348469132687,0.0,0.5428,0.15160338453668093,0.1531478867316379,0.6492062852496666,1.0,10,500,0,0,mixed
banknote-authentication,10093,hyb_fpde,500,0.426,0.426,0.426,4.0,1234.0,138.0,0.0008590458120001521,1.0,15.0,16.0,16.0,16.0,0.0,,0.9927536231884058,0.9935064935064934,0.9881661637928648,0.5768334742984523,0.4113326894944125,0.884908004786614,0.42344348469132687,0.0,0.5411999999999999,0.15160338453668093,0.1531478867316379,0.6481203471405133,1.0,10,500,0,0,mixed
banknote-authentication,10093,lime,500,0.426,0.426,0.426,4.0,1234.0,138.0,0.0317505517899976,5000.0,15.0,5015.0,5015.0,5015.0,1234.0,100.0,0.9927536231884058,0.9935064935064934,0.9881661637928648,0.6223587314401459,0.3658074323527189,0.8233797696049691,0.42344348469132687,0.0,0.44279999999999997,0.15160338453668093,0.1531478867316379,0.594593600978844,1.0,10,500,0,0,mixed
banknote-authentication,10093,shap,500,0.426,0.426,0.426,4.0,1234.0,138.0,0.003824781948001096,101.0,15.0,116.0,116.0,116.0,100.0,100.0,0.9927536231884058,0.9935064935064934,0.9881661637928648,0.5481752182287016,0.43999094556416307,0.907299285312058,0.42344348469132687,0.0,0.5868,0.15160338453668093,0.1531478867316379,0.6736451154381106,1.0,10,500,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,500,0.078,0.078,0.078,4.0,673.0,75.0,0.05277183888400391,1.0,15.0,16.0,16.0,16.0,0.0,,0.76,0.5950292397660819,0.8553623136220962,0.8325765198130387,0.022785793809057587,0.8275005230908965,-0.028808974278470494,0.0,0.0328,0.04989214488300249,0.09670886505095228,0.425143158449977,1.0,10,500,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,500,0.078,0.078,0.078,4.0,673.0,75.0,0.05587206017201283,50.0,15.0,65.0,65.0,65.0,0.0,,0.76,0.5950292397660819,0.8553623136220962,0.8330844675338682,0.022277846088228123,0.8311713168878834,-0.028808974278470494,0.0,-0.10560000000000001,0.04989214488300249,0.09670886505095228,0.4267245814880557,1.0,10,500,0,0,mixed
blood-transfusion-service-center,10101,hyb_fpde,500,0.078,0.078,0.078,4.0,673.0,75.0,0.0008677946140073308,1.0,15.0,16.0,16.0,16.0,0.0,,0.76,0.5950292397660819,0.8553623136220962,0.8298610460031994,0.025501267618896796,0.8446772886020337,-0.028808974278470494,0.0,0.2344,0.04989214488300249,0.09670886505095228,0.4350892781104652,1.0,10,500,0,0,mixed
blood-transfusion-service-center,10101,lime,500,0.078,0.078,0.078,4.0,673.0,75.0,0.0320624785560039,5000.0,15.0,5015.0,5015.0,5015.0,673.0,100.0,0.76,0.5950292397660819,0.8553623136220962,0.8131364482824935,0.04222586533960274,0.8549356582961652,-0.028808974278470494,0.0,0.5568,0.04989214488300249,0.09670886505095228,0.448580761817884,1.0,10,500,0,0,mixed
blood-transfusion-service-center,10101,shap,500,0.078,0.078,0.078,4.0,673.0,75.0,0.00737831648799733,101.0,15.0,116.0,116.0,116.0,100.0,100.0,0.76,0.5950292397660819,0.8553623136220962,0.7996446809935657,0.05571763262853066,0.8599557377588197,-0.028808974278470494,0.0,0.6875999999999999,0.04989214488300249,0.09670886505095228,0.45783668519367515,1.0,10,500,0,0,mixed
