method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,n_seeds,n_common_or_observed_features,uncertainty_rank_correlation,metric_direction,mean_spearman_between_seeds,mean_pearson_between_seeds,top_k_jaccard_between_seeds,sign_agreement_between_seeds,ci_width_stability,mean_spearman_between_runs,top_k_jaccard_between_runs
bayesian_hyb_fpde,banknote-authentication,10093,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,543d9bd163ee,2026-06-08T14:13:13+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,1.0,0.9862932556673714,1.0,0.8611111111111112,0.9288888888888885,1.0,1.0
bootstrap_fpde,banknote-authentication,10093,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,0d2fbf8ceec8,2026-06-08T14:13:13+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,1.0,0.9862460151884771,1.0,0.8666666666666667,0.9155555555555553,1.0,1.0
hyb_fpde,banknote-authentication,10093,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,73ccf905e358,2026-06-08T14:13:13+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,1.0,0.9863049298724726,1.0,0.8611111111111112,1.0,1.0,1.0
lime,banknote-authentication,10093,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,be67e23bab97,2026-06-08T14:13:14+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-0.7999999999999999,higher_is_better,0.8266666666666664,0.09313820420717786,1.0,0.5166666666666667,1.0,0.8266666666666664,1.0
shap,banknote-authentication,10093,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,edfbdb5131fb,2026-06-08T14:13:14+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,1.0,0.98871195694021,1.0,0.9111111111111111,1.0,1.0,1.0
bayesian_hyb_fpde,blood-transfusion-service-center,10101,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,8b79669fbbc0,2026-06-08T14:13:14+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,0.7155555555555555,0.9590611622596765,1.0,0.8666666666666667,0.9288888888888885,0.7155555555555555,1.0
bootstrap_fpde,blood-transfusion-service-center,10101,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,46efed82af8e,2026-06-08T14:13:14+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-0.7999999999999999,higher_is_better,0.7199999999999999,0.9609216760876607,1.0,0.8611111111111112,0.7866666666666665,0.7199999999999999,1.0
hyb_fpde,blood-transfusion-service-center,10101,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,ba88f66a55d1,2026-06-08T14:13:14+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-1.0,higher_is_better,0.7866666666666665,0.9597840143616322,1.0,0.8611111111111112,1.0,0.7866666666666665,1.0
lime,blood-transfusion-service-center,10101,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,004de560b606,2026-06-08T14:13:15+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-0.7999999999999999,higher_is_better,1.0,0.9993341070887867,1.0,0.8611111111111112,1.0,1.0,1.0
shap,blood-transfusion-service-center,10101,all,openml_repeat0_fold0_sample0,across_seeds,ieee_full,ce2705479135,ce2705479135,27142484670,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,5ed77b7ed159,5ed77b7ed159,9bbec708bcc4,2026-06-08T14:13:15+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,10,4,-0.6000000000000001,higher_is_better,0.9600000000000001,0.9687221836253057,1.0,0.8611111111111112,1.0,0.9600000000000001,1.0
