dataset_name,task_id,method,n_rows,mean_n_seeds,mean_n_common_or_observed_features,mean_uncertainty_rank_correlation,mean_mean_spearman_between_seeds,mean_mean_pearson_between_seeds,mean_top_k_jaccard_between_seeds,mean_sign_agreement_between_seeds,mean_ci_width_stability,mean_mean_spearman_between_runs,mean_top_k_jaccard_between_runs,n_seeds,status_ok,status_skipped,status_error,metric_direction
banknote-authentication,10093,bayesian_hyb_fpde,1,10.0,4.0,-1.0,1.0,0.9862932556673714,1.0,0.8611111111111112,0.9288888888888884,1.0,1.0,1,1,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,1,10.0,4.0,-1.0,1.0,0.9862460151884772,1.0,0.8666666666666667,0.9155555555555552,1.0,1.0,1,1,0,0,mixed
banknote-authentication,10093,hyb_fpde,1,10.0,4.0,-1.0,1.0,0.9863049298724726,1.0,0.8611111111111112,1.0,1.0,1.0,1,1,0,0,mixed
banknote-authentication,10093,lime,1,10.0,4.0,-0.7999999999999999,0.8266666666666664,0.0931382042071778,1.0,0.5166666666666667,1.0,0.8266666666666664,1.0,1,1,0,0,mixed
banknote-authentication,10093,shap,1,10.0,4.0,-1.0,1.0,0.98871195694021,1.0,0.9111111111111112,1.0,1.0,1.0,1,1,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,1,10.0,4.0,-1.0,0.7155555555555555,0.9590611622596764,1.0,0.8666666666666667,0.9288888888888884,0.7155555555555555,1.0,1,1,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,1,10.0,4.0,-0.7999999999999999,0.7199999999999999,0.9609216760876608,1.0,0.8611111111111112,0.7866666666666665,0.7199999999999999,1.0,1,1,0,0,mixed
blood-transfusion-service-center,10101,hyb_fpde,1,10.0,4.0,-1.0,0.7866666666666665,0.9597840143616322,1.0,0.8611111111111112,1.0,0.7866666666666665,1.0,1,1,0,0,mixed
blood-transfusion-service-center,10101,lime,1,10.0,4.0,-0.7999999999999999,1.0,0.9993341070887868,1.0,0.8611111111111112,1.0,1.0,1.0,1,1,0,0,mixed
blood-transfusion-service-center,10101,shap,1,10.0,4.0,-0.6000000000000001,0.96,0.9687221836253056,1.0,0.8611111111111112,1.0,0.96,1.0,1,1,0,0,mixed
credit-g,31,bayesian_hyb_fpde,1,10.0,61.0,0.769381279746166,0.8316258299547562,0.8677778735157285,0.6867724867724868,0.7610200364298725,0.9931594100710968,0.8316258299547562,0.6867724867724868,1,1,0,0,mixed
credit-g,31,bootstrap_fpde,1,10.0,61.0,0.7703860391327338,0.8292238086844113,0.8633524859568592,0.6867724867724868,0.7562841530054646,0.9939925965097832,0.8292238086844113,0.6867724867724868,1,1,0,0,mixed
credit-g,31,hyb_fpde,1,10.0,61.0,0.0526176626123744,0.8337516892884423,0.8687293609530112,0.6867724867724868,0.7723132969034607,1.0,0.8337516892884423,0.6867724867724868,1,1,0,0,mixed
credit-g,31,lime,1,10.0,61.0,0.0719725013220518,0.6637193724660673,0.9825922107437848,0.9333333333333332,0.7191256830601094,1.0,0.6637193724660673,0.9333333333333332,1,1,0,0,mixed
credit-g,31,shap,1,10.0,61.0,0.0083553675304071,0.8111463658264293,0.9180458626542416,0.6582010582010582,0.792349726775956,1.0,0.8111463658264293,0.6582010582010582,1,1,0,0,mixed
diabetes,37,bayesian_hyb_fpde,1,10.0,8.0,-0.0238095238095238,0.965079365079365,0.9942778440050366,1.0,0.9416666666666668,0.8000000000000003,0.965079365079365,1.0,1,1,0,0,mixed
diabetes,37,bootstrap_fpde,1,10.0,8.0,-0.0476190476190476,0.965079365079365,0.9943200602007012,1.0,0.9555555555555556,0.7571428571428572,0.965079365079365,1.0,1,1,0,0,mixed
diabetes,37,hyb_fpde,1,10.0,8.0,-0.4761904761904762,0.965079365079365,0.9942966006553812,1.0,0.9555555555555556,1.0,0.965079365079365,1.0,1,1,0,0,mixed
diabetes,37,lime,1,10.0,8.0,-0.4285714285714286,0.9867724867724866,0.9982136583464222,1.0,0.875,1.0,0.9867724867724866,1.0,1,1,0,0,mixed
diabetes,37,shap,1,10.0,8.0,-0.4285714285714286,0.946031746031746,0.9967250552642732,1.0,0.9166666666666666,1.0,0.946031746031746,1.0,1,1,0,0,mixed
wdbc,9946,bayesian_hyb_fpde,1,10.0,30.0,-0.3317018909899888,0.989637869237424,0.9968021314171798,0.7925925925925924,0.951851851851852,0.9054949944382648,0.989637869237424,0.7925925925925924,1,1,0,0,mixed
wdbc,9946,bootstrap_fpde,1,10.0,30.0,-0.3557285873192435,0.9895785440613026,0.9967933976819487,0.7925925925925924,0.948148148148148,0.8997800024718823,0.9895785440613026,0.7925925925925924,1,1,0,0,mixed
wdbc,9946,hyb_fpde,1,10.0,30.0,-0.5074527252502781,0.9897367445309604,0.996801300220798,0.7925925925925924,0.951851851851852,1.0,0.9897367445309604,0.7925925925925924,1,1,0,0,mixed
wdbc,9946,lime,1,10.0,30.0,-0.1274749721913236,0.8264738598442715,0.993150441854742,0.8222222222222221,0.8325925925925924,1.0,0.8264738598442715,0.8222222222222221,1,1,0,0,mixed
wdbc,9946,shap,1,10.0,30.0,-0.1230255839822024,0.9814114448152266,0.9983162895364924,0.8814814814814813,0.9666666666666668,1.0,0.9814114448152266,0.8814814814814813,1,1,0,0,mixed
