method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,feature,feature_index,posterior_mean,posterior_std,ci_width,sign_confidence,n_explained_instances
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.6152003570025277,0.06122033261068948,0.23779956691380746,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.21835640041149168,0.06965300697563173,0.27245381343317254,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.011851696757714811,0.07194329500856322,0.2787585170594745,0.78744,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.0006362776669169199,0.11337610478119425,0.4388003609742011,0.6628799999999999,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.7087258558566251,0.03731855280199447,0.14548512246763617,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.23245572808690423,0.0492157775788255,0.1915320786408888,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.037215527822639344,0.04945366112585255,0.19063599620040708,0.99968,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,0.002589209376079321,0.07046004073202872,0.27328877744673125,0.6901600000000001,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.6712240686797409,0.024674375600566303,0.09569236032637292,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.1876641667516488,0.0348730587480041,0.13610829919542022,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.01141670509487531,0.03551936746486013,0.13760088770063,0.99976,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,0.004938027722777207,0.047875440316578324,0.18702505311879172,0.74544,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.6786216473383432,0.02088379544435794,0.08112552388313123,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.21501832451837607,0.028354060155859256,0.1106567673234788,1.0,50
