dataset_name,task_id,method,train_fraction,n_rows,mean_training_size,mean_mean_posterior_std,mean_mean_ci_width,mean_median_ci_width,mean_mean_sign_confidence,mean_attribution_distance_to_full_train,mean_top_k_jaccard_to_full_train,mean_n_features,mean_n_explained_instances,mean_uncertainty_decrease_slope,mean_uncertainty_decrease_rate,n_seeds,status_ok,status_skipped,status_error,metric_direction
banknote-authentication,10093,bayesian_hyb_fpde,0.1,10,123.0,0.08767556029003128,0.34057294050205905,0.3553799288800496,0.9290879999999999,0.0405294368299333,1.0,4.0,50.0,-0.23447039933720312,0.23447039933720312,10,10,0,0,mixed
banknote-authentication,10093,bayesian_hyb_fpde,0.25,10,308.0,0.05579562603563666,0.21666544733157284,0.22578007112275414,0.9178580000000001,0.026135572192624364,1.0,4.0,50.0,-0.23447039933720312,0.23447039933720312,10,10,0,0,mixed
banknote-authentication,10093,bayesian_hyb_fpde,0.5,10,616.0,0.038922038261460665,0.1514218198974325,0.15929626306861278,0.941235,0.01795270854309311,1.0,4.0,50.0,-0.23447039933720312,0.23447039933720312,10,10,0,0,mixed
banknote-authentication,10093,bayesian_hyb_fpde,0.75,10,926.0,0.03172778195721149,0.12352085413131815,0.12993845647957813,0.933016,0.00527407308130063,1.0,4.0,50.0,-0.23447039933720312,0.23447039933720312,10,10,0,0,mixed
banknote-authentication,10093,bayesian_hyb_fpde,1.0,10,1234.0,0.02740284034185709,0.10663796435709527,0.112263058810844,0.9497690000000001,0.0,1.0,4.0,50.0,-0.23447039933720312,0.23447039933720312,10,10,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,0.1,10,123.0,0.08545462295959119,0.31020845302296296,0.324576659813235,0.93117,0.04094753848372934,1.0,4.0,50.0,-0.21462773261875526,0.21462773261875526,10,10,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,0.25,10,308.0,0.05503990216815598,0.19965170247129166,0.2085381968214067,0.91952,0.026251211197775442,1.0,4.0,50.0,-0.21462773261875526,0.21462773261875526,10,10,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,0.5,10,616.0,0.038363685607667244,0.13904250373953048,0.14619464751544356,0.94137,0.01806979292418909,1.0,4.0,50.0,-0.21462773261875526,0.21462773261875526,10,10,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,0.75,10,926.0,0.031361034124108886,0.11397371399596042,0.12001005414448951,0.93326,0.00498671085028253,1.0,4.0,50.0,-0.21462773261875526,0.21462773261875526,10,10,0,0,mixed
banknote-authentication,10093,bootstrap_fpde,1.0,10,1234.0,0.02683370864648258,0.0965913006392009,0.10181056834217499,0.94755,0.0,1.0,4.0,50.0,-0.21462773261875526,0.21462773261875526,10,10,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,0.1,10,67.0,0.1361672196013457,0.5304577472877623,0.528058745534435,0.87158,0.06399129567920106,1.0,4.0,50.0,-0.3473160277133366,0.3473160277133366,10,10,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,0.25,10,168.0,0.09153801203185061,0.3554139186671713,0.34756012602307723,0.929549,0.03929370420851484,1.0,4.0,50.0,-0.3473160277133366,0.3473160277133366,10,10,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,0.5,10,336.0,0.06694634192883059,0.2597332616856813,0.2573694231116675,0.937317,0.01823504372208605,1.0,4.0,50.0,-0.3473160277133366,0.3473160277133366,10,10,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,0.75,10,505.0,0.05561503229449745,0.21599996676877864,0.21308788027099354,0.9315070000000001,0.012561412976338348,1.0,4.0,50.0,-0.3473160277133366,0.3473160277133366,10,10,0,0,mixed
blood-transfusion-service-center,10101,bayesian_hyb_fpde,1.0,10,673.0,0.04783353672017166,0.18572758751392224,0.1825511208132339,0.9457739999999999,0.0,1.0,4.0,50.0,-0.3473160277133366,0.3473160277133366,10,10,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,0.1,10,67.0,0.12289589258764326,0.44502591082292364,0.4446576580392712,0.8906000000000001,0.06808198461742737,1.0,4.0,50.0,-0.2909076015659529,0.2909076015659529,10,10,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,0.25,10,168.0,0.08485991620893178,0.3091134832248225,0.29228080561526315,0.9332699999999999,0.04031412062757318,1.0,4.0,50.0,-0.2909076015659529,0.2909076015659529,10,10,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,0.5,10,336.0,0.06198050124255895,0.2248207858376347,0.21047235312162105,0.9382400000000001,0.01822649177501252,1.0,4.0,50.0,-0.2909076015659529,0.2909076015659529,10,10,0,0,mixed
