method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,n_seeds,n_reference_seeds,n_common_features,sign_confidence_threshold,metric_direction,uncertainty_error_pearson,sign_agreement_at_confidence,median_ci_width,mean_abs_error_to_reference,top_k_jaccard_to_reference
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,a8a95c46f757,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.01805283257609547,0.07021425569657558,-0.39999999999999997,-0.39999999999999997,1.0,1.0,0.09592843155539132,1.0,1.0,2.372711625999841,10,9,4,0.8,higher_is_better,-0.34101099709714255,1.0,0.06826388572347775,0.02126451071246383,1.0
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,a33175d54c34,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.01988372877952086,0.07743160437999809,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.11923097112025415,1.0,1.0,2.370246929000018,10,9,4,0.8,higher_is_better,-0.9026238500323015,0.75,0.08464748049233525,0.024506313661125496,1.0
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,44b5cd2c2887,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.018807732427941953,0.0730973875135991,-1.0,-1.0,1.0,1.0,0.11101044696752828,1.0,1.0,2.382647590000147,10,9,4,0.8,higher_is_better,-0.9251467855885501,1.0,0.08058471816003254,0.026781951731809996,1.0
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,c428655e35b7,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.5,0.01982835500151678,0.077151002178187,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.10552576214200704,1.0,1.0,2.3810332549997497,10,9,4,0.8,higher_is_better,-0.2870323196928177,1.0,0.08256810625327261,0.03765588801627141,1.0
bayesian_hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,f3118985c307,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.017782996017233432,0.06921807368344195,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.07716088471457835,1.0,1.0,2.3812461610003766,10,9,4,0.8,higher_is_better,-0.9730514404522862,1.0,0.07751062671570744,0.024099262736842625,1.0
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,3f365e2ca849,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.02108281805890442,0.08210451365492853,-1.0,-1.0,1.0,1.0,0.12126143601130451,1.0,1.0,2.3791740699999764,10,9,4,0.8,higher_is_better,-0.9736262762056691,1.0,0.08971730544326549,0.02063910772690713,1.0
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,f13abbc9198d,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.019615322537839656,0.07635286535895904,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.10753028090983244,1.0,1.0,2.378765701999896,10,9,4,0.8,higher_is_better,-0.7667486124086706,1.0,0.07836607057879447,0.0031373748328581497,1.0
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,b175664d4758,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.018895322050195795,0.07350743969656932,-1.0,-1.0,1.0,1.0,0.08199571388297948,1.0,1.0,2.3928313079998134,10,9,4,0.8,higher_is_better,-0.922712124052944,1.0,0.07438301406306985,0.03835112821097295,1.0
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,0ad6e2f69281,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.018874325586289625,0.07342866124864827,-0.39999999999999997,-0.39999999999999997,1.0,1.0,0.09227998216549964,1.0,1.0,2.3709887100001197,10,9,4,0.8,higher_is_better,-0.17868830432455507,1.0,0.07459497572798965,0.020118561092956594,1.0
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,e0b87c1a00cc,2026-06-09T03:13:53+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.75,0.018506936972098424,0.07195744129513836,-1.0,-1.0,1.0,1.0,0.0996165263590319,1.0,1.0,2.364947643000278,10,9,4,0.8,higher_is_better,-0.9076742738051424,1.0,0.07705181531269405,0.016749038636583103,1.0
