method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,n_rows,n_seeds,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,status_ok
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.75,0.01913303700076364,0.07444632447060452,-0.8,-0.8,1.0,1.0,0.1011540435828407,1.0,1.0,2.3706525082000978,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.75,0.027402840341857145,0.10663796435709531,-0.74,-0.74,1.0,1.0,0.0,1.0,1.0,2.371730787799973,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.775,0.035823391441609356,0.13944802144046844,-0.6199999999999999,-0.6199999999999999,1.0,1.0,0.10115404358284072,1.0,1.0,2.3712239386001017,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,1.0,0.04239950143799906,0.16469210278506344,-0.33999999999999997,-0.33999999999999997,0.6399999999999999,1.0,0.010066609698203449,1.0,1.0,2.3671400174000525,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,1.0,0.04783353672017171,0.1857275875139223,-0.33999999999999997,-0.29999999999999993,0.7155555555555555,1.0,0.0,1.0,1.0,2.3650456067000194,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,1.0,0.054082629221232505,0.2102272272575318,-0.33999999999999997,-0.27999999999999997,0.7155555555555555,1.0,0.010066609698203454,1.0,0.975,2.3658892598999985,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.9950819672131148,0.006352839439075169,0.02468206459321238,0.6182443151771548,0.61772078265468,0.8255843469063986,0.6867724867724868,0.003659463869397211,1.0,0.9934426229508198,3.2639409719998964,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.9950819672131148,0.008843514448665884,0.034364038498733616,0.6186515071390798,0.617662612374405,0.8316258299547561,0.6867724867724868,0.0,1.0,1.0,3.2609554084000765,10
bayesian_hyb_fpde,credit-g,31,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.9950819672131148,0.011345933165806404,0.04409456534023146,0.6164992067689052,0.6161819143310417,0.8261096421646392,0.6867724867724868,0.003659463869397211,1.0,0.9918032786885245,3.258685873399995,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,1.0,0.026806743240308926,0.10412486570994646,-0.2547619047619048,-0.2571428571428572,0.9698412698412697,1.0,0.05232625544795342,1.0,0.9875,2.4582684171000224,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,1.0,0.03818837623208671,0.14846092875279002,-0.16666666666666669,-0.18809523809523812,0.965079365079365,1.0,0.0,1.0,1.0,2.458250448699954,10
bayesian_hyb_fpde,diabetes,37,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,1.0,0.049709861529493006,0.19332848186482107,-0.14047619047619048,-0.15000000000000002,0.9566137566137567,0.9333333333333333,0.05232625544795344,0.9666666666666666,1.0,2.462301782399899,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.9833333333333334,0.016922227385905955,0.06571816803775984,-0.36097886540600665,-0.3631590656284761,0.9894104560622912,0.7925925925925924,0.18252309361680788,1.0,0.9933333333333334,2.798478737300127,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.9800000000000001,0.03178965620947898,0.12345838657043831,-0.36129032258064514,-0.35599555061179083,0.9896378692374241,0.7925925925925924,0.0,1.0,1.0,2.8019793516000844,10
bayesian_hyb_fpde,wdbc,9946,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.9800000000000001,0.04665854511874387,0.18120413191324447,-0.3560400444938821,-0.3527030033370412,0.9895983191200098,0.7925925925925924,0.18252309361680788,1.0,1.0,2.796975196900013,10
