method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,n_seeds,n_reference_seeds,n_common_features,sign_confidence_threshold,metric_direction,uncertainty_error_pearson,sign_agreement_at_confidence,median_ci_width,mean_abs_error_to_reference,top_k_jaccard_to_reference
bayesian_hyb_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,8d7fbe24a0a1,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.025297035463573758,0.09496115519680759,-0.19999999999999998,-0.19999999999999998,1.0,1.0,0.00038846344729303684,1.0,1.0,0.6628642830000331,10,9,4,0.8,higher_is_better,-0.17109266646125257,0.75,0.09381739567345404,0.029203420697289626,1.0
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,31b3494a0fa9,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.028562602974229988,0.10737158295526644,-0.39999999999999997,-0.39999999999999997,1.0,1.0,0.00032723273122902015,1.0,1.0,0.6601131559999089,10,9,4,0.8,higher_is_better,-0.9245198708083187,0.75,0.11803410708252984,0.03857276308721162,1.0
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,743b66fb2b55,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.026707657087246234,0.10027695146635898,-0.19999999999999998,-0.19999999999999998,1.0,1.0,0.00022091289751963828,1.0,1.0,0.6589969160000351,10,9,4,0.8,higher_is_better,-0.8580512140639968,0.75,0.11138972030217106,0.03444531046743914,1.0
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,524b591e45dd,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.5,0.0284029835701747,0.10659779915653075,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.0004270263290193654,1.0,1.0,0.6625454949999039,10,9,4,0.8,higher_is_better,-0.1114700528016284,0.75,0.11478781590730999,0.052777792534245055,1.0
bayesian_hyb_fpde,banknote-authentication,10093,4,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,23969716f47a,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.024449282018471,0.09208295559216031,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.0006186080903640707,1.0,1.0,0.6759512940000718,10,9,4,0.8,higher_is_better,-0.9899655940153875,0.75,0.10426375479892805,0.041274033164275796,1.0
bayesian_hyb_fpde,banknote-authentication,10093,5,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,ee96c376f3e1,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.031015815223956647,0.11578701398644013,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.0006482123944575615,1.0,1.0,0.6671641770002452,10,9,4,0.8,higher_is_better,-0.967047745023792,1.0,0.1267978461736246,0.03238393629449443,1.0
bayesian_hyb_fpde,banknote-authentication,10093,6,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,2c9c2bc5162c,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,1.0,0.028032973681951297,0.10474088764135991,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.00018011585747849907,1.0,1.0,0.6573291560004009,10,9,4,0.8,higher_is_better,-0.8815529009422168,0.75,0.10815947231103136,0.00476733034693051,1.0
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,afc6bc9738ac,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.026553130880607918,0.09925116826225046,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.00037685939537519613,1.0,1.0,0.6770873009995739,10,9,4,0.8,higher_is_better,-0.9317773199104966,0.75,0.10200910038215846,0.05403297832880798,1.0
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,4146cf0c18f8,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.02671849041334731,0.09980659828625302,-0.39999999999999997,-0.39999999999999997,1.0,1.0,0.0005535452341817173,1.0,1.0,0.6600899650002248,10,9,4,0.8,higher_is_better,-0.11245845492405705,0.75,0.10264824904515686,0.02913772917246777,1.0
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27142497585,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,1c24109f3ec412843703174550922b2f8e7ab72a,e02215727237,e02215727237,4fe4dff43df7,2026-06-08T14:08:42+00:00,1c24109f3ec412843703174550922b2f8e7ab72a,ok,,full_grid,100,0.5,0.75,0.02624127170984506,0.09823615089325481,-0.7999999999999999,-0.7999999999999999,1.0,1.0,0.0003499402001882206,1.0,1.0,0.6548841460000858,10,9,4,0.8,higher_is_better,-0.6609008582113215,0.75,0.10569514673945538,0.02181543650613925,1.0
