method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,n_rows,n_seeds,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,status_ok
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,100,0.25,10,10,0.75,0.018986586947327213,0.07121063339177461,-0.74,-0.76,0.9599999999999997,1.0,0.10114105421814727,1.0,1.0,0.6672386881999159,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,100,0.5,10,10,0.75,0.027198124302340393,0.10191122634366825,-0.6,-0.6,1.0,1.0,0.00040909165771063264,1.0,1.0,0.6637025889000483,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,100,0.75,10,10,0.775,0.03556328127561079,0.13320273336723218,-0.5,-0.5,1.0,1.0,0.1011372193918364,1.0,1.0,0.6620939954000079,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,300,0.25,10,10,0.75,0.01911513146640697,0.0738997986906355,-0.8,-0.8,1.0,1.0,0.10114174673756479,1.0,1.0,1.5429102935001366,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,300,0.5,10,10,0.75,0.027385155522874245,0.10592497613286067,-0.7,-0.74,1.0,1.0,0.00016094124731298758,1.0,1.0,1.5458735182001333,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,300,0.75,10,10,0.775,0.03580703376409971,0.13853250100402228,-0.5599999999999999,-0.5599999999999999,1.0,1.0,0.1012007450418841,1.0,1.0,1.5442523890999666,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,0.75,0.01913303700076364,0.07444632447060452,-0.8,-0.8,1.0,1.0,0.1011540435828407,1.0,1.0,2.3706525082000978,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.5,10,10,0.75,0.027402840341857145,0.10663796435709531,-0.74,-0.74,1.0,1.0,0.0,1.0,1.0,2.371730787799973,10
bayesian_hyb_fpde,banknote-authentication,10093,,,,,,,,,,,,,,,,,,,full_grid,500,0.75,10,10,0.775,0.035823391441609356,0.13944802144046844,-0.6199999999999999,-0.6199999999999999,1.0,1.0,0.10115404358284072,1.0,1.0,2.3712239386001017,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,100,0.25,10,10,1.0,0.0420968017477573,0.1581031987457441,-0.36,-0.36,0.6488888888888888,1.0,0.010189750207215348,1.0,0.95,0.6634128673999726,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,100,0.5,10,10,1.0,0.04747673482417671,0.17847956523335634,-0.38,-0.38,0.7466666666666666,1.0,0.0006507186360707625,1.0,1.0,0.6618839305000563,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,100,0.75,10,10,1.0,0.053689649303723073,0.2019190495801401,-0.27999999999999997,-0.33999999999999997,0.7466666666666666,1.0,0.009978548810258014,1.0,0.975,0.6609303288999968,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,300,0.25,10,10,1.0,0.042354895386998874,0.16371263201750796,-0.36,-0.38,0.5866666666666666,1.0,0.010033899766536895,1.0,0.975,1.538432599299958,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,300,0.5,10,10,1.0,0.047776507833440666,0.18450060739066443,-0.33999999999999997,-0.36,0.6933333333333332,1.0,0.00022237383851878294,1.0,0.975,1.5424713581000304,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,300,0.75,10,10,1.0,0.05401769343849857,0.20869799490487334,-0.3,-0.3,0.6933333333333332,1.0,0.010104610765014784,1.0,0.975,1.5398586022998644,10
bayesian_hyb_fpde,blood-transfusion-service-center,10101,,,,,,,,,,,,,,,,,,,full_grid,500,0.25,10,10,1.0,0.04239950143799906,0.16469210278506344,-0.33999999999999997,-0.33999999999999997,0.6399999999999999,1.0,0.010066609698203449,1.0,1.0,2.3671400174000525,10
