seed,method_display,deletion_drop_auc,insertion_auc,combined_score,runtime_seconds
1,AIME,0.417143930888464,0.8239935874532843,0.6205687591708741,0.01687976532211632
1,Hyb-FPDE,0.41541862086140746,0.802858388471526,0.6091385046664667,0.02962143054880256
1,LIME,0.13926112938419113,0.5434161885178344,0.34133865895101273,0.06599184482069084
1,SHAP,0.3663274379549881,0.7475910001608835,0.5569592190579359,0.19570162946484368
2,AIME,0.4179165435867531,0.8267387202810642,0.6223276319339087,0.01614645888246728
2,Hyb-FPDE,0.41486715019065606,0.8066468031061049,0.6107569766483805,0.02872736384259233
2,LIME,0.1392847396423445,0.5489550200386255,0.34411987984048503,0.0653057002894854
2,SHAP,0.3683060711046944,0.7482368496362003,0.5582714603704474,0.19462167172981581
3,AIME,0.4175209754427376,0.8306887404154506,0.6241048579290941,0.01669735096084662
3,Hyb-FPDE,0.41539925123447435,0.8109088918166288,0.6131540715255516,0.02965262747379539
3,LIME,0.1399877872600125,0.556091669912198,0.34803972858610527,0.0660576973940045
3,SHAP,0.3629192391334089,0.7550601345645721,0.5589896868489905,0.19418844304169577
4,AIME,0.4197359186642197,0.8261601040625574,0.6229480113633885,0.016690246760245952
4,Hyb-FPDE,0.4157332163616348,0.8053159991054087,0.6105246077335218,0.029721639243727786
4,LIME,0.13512127908645782,0.549887538000943,0.3425044085437004,0.0671404676134484
4,SHAP,0.3598699819826378,0.7447131662191783,0.552291574100908,0.19732412511284067
5,AIME,0.4160799161341222,0.820806961072416,0.6184434386032691,0.016706623694932435
5,Hyb-FPDE,0.41415693221886046,0.8026737365138132,0.6084153343663369,0.029544699967055717
5,LIME,0.14588120176896593,0.556750694802314,0.3513159482856399,0.06568860123988095
5,SHAP,0.3621847543195241,0.74381707311427,0.553000913716897,0.19707803257126766
6,AIME,0.4204116541599998,0.8219887981502552,0.6212002261551274,0.017130844953463318
6,Hyb-FPDE,0.41919746200588753,0.8021943314029462,0.6106958967044168,0.0296204465729083
6,LIME,0.13880636364897445,0.5463843448826214,0.3425953542657979,0.06526779667953791
6,SHAP,0.3656379249418302,0.747992508276377,0.5568152166091035,0.19711145702402944
7,AIME,0.4136483195183201,0.820377291201821,0.6170128053600705,0.016844520130454267
7,Hyb-FPDE,0.41151110268541746,0.8028727563718744,0.6071919295286459,0.029076590125105384
7,LIME,0.15354447871909815,0.5614678750039976,0.3575061768615479,0.06530444503875395
7,SHAP,0.3657985297030111,0.747858508663318,0.5568285191831646,0.1971458156046295
8,AIME,0.42120846598664163,0.8242961625008861,0.6227523142437639,0.01706539604586235
8,Hyb-FPDE,0.4178560142163467,0.8059210299106173,0.611888522063482,0.029681600370909847
8,LIME,0.1470449778613541,0.5531361136729421,0.3500905457671481,0.06746393344606272
8,SHAP,0.3666585096378977,0.7423502247309088,0.5545043671844033,0.19764653005332516
9,AIME,0.41854603758909525,0.8253767927615442,0.6219614151753197,0.01699542021973774
9,Hyb-FPDE,0.416074568787411,0.8041530238935163,0.6101137963404636,0.02930618303756083
9,LIME,0.14899666049319873,0.5576076779761879,0.35330216923469326,0.06513118379675097
9,SHAP,0.37534127404756157,0.7599402678687958,0.5676407709581786,0.1952656631354782
10,AIME,0.41761144290041907,0.8232258303893065,0.6204186366448629,0.016799380525960056
10,Hyb-FPDE,0.41394735748234196,0.8034707391819139,0.6087090483321279,0.030038478656182758
10,LIME,0.14524590571025467,0.5542704418163578,0.3497581737633062,0.06572769336976042
10,SHAP,0.3687043685317755,0.7477662423256409,0.5582353054287083,0.19807174418104578
