seed,method_display,deletion_drop_auc,insertion_auc,combined_score,runtime_seconds
1,AIME,0.45617481066303406,0.8106384382461589,0.6334066244545965,0.01867327998296285
1,Hyb-FPDE,0.4508060380448137,0.7758043519156529,0.6133051949802333,0.050258480093917625
1,LIME,0.1941117512114991,0.5250826849915093,0.3595972181015042,0.08380851481681312
1,SHAP,0.4265294214905215,0.7653333687936689,0.5959313951420951,0.2924568234633506
2,AIME,0.45625170978894974,0.8126870559819113,0.6344693828854306,0.018225282850627633
2,Hyb-FPDE,0.4521575400627548,0.7786721503098742,0.6154148451863145,0.04966834774854853
2,LIME,0.19441487488234213,0.5266011417833654,0.36050800833285374,0.08253123570834325
2,SHAP,0.42709929299400096,0.7632538761436867,0.5951765845688438,0.2916021559190237
3,AIME,0.45624528610324283,0.8156999815646915,0.6359726338339672,0.01842804313343306
3,Hyb-FPDE,0.45147747787012754,0.7812396387551139,0.6163585583126208,0.05013797283896958
3,LIME,0.19555783569440915,0.53223274533554,0.36389529051497455,0.08406737364659518
3,SHAP,0.4249634571240064,0.7705610586654564,0.5977622578947314,0.2942091203136512
4,AIME,0.4589814941246473,0.8110097060046093,0.6349956000646283,0.018289990670800907
4,Hyb-FPDE,0.4518829564272978,0.7743195895281417,0.6131012729777198,0.05038554251057263
4,LIME,0.19576679695455923,0.5272094009613195,0.36148809895793943,0.08430190181767754
4,SHAP,0.42268269461446445,0.7613597777518307,0.5920212361831476,0.29625699961285085
5,AIME,0.4563898750442308,0.8118055344442834,0.6340977047442571,0.018479075284345888
5,Hyb-FPDE,0.4516972797912813,0.7785603829998032,0.6151288313955423,0.04963961107078401
5,LIME,0.19512862271035003,0.5303394427918292,0.3627340327510896,0.08316347951971806
5,SHAP,0.4239702336003,0.7656339790451611,0.5948021063227305,0.2957572841888524
6,AIME,0.4577140225126577,0.8087642841448024,0.63323915332873,0.018844956138088904
6,Hyb-FPDE,0.45337376507887583,0.7739132329222981,0.6136434990005869,0.04944201115886049
6,LIME,0.19758811240633356,0.531730094887638,0.3646591036469858,0.08332461049572944
6,SHAP,0.42585061163968974,0.7629989998902431,0.5944248057649664,0.29562159794364307
7,AIME,0.46123161941177176,0.8078365906664755,0.6345341050391237,0.018544037394334745
7,Hyb-FPDE,0.4583433611370908,0.7754392907832792,0.616891325960185,0.048453384317193156
7,LIME,0.20541742820267744,0.533186244014741,0.36930183610870926,0.08289293573548667
7,SHAP,0.43031109156096786,0.7640061157182557,0.5971586036396118,0.2961360324501539
8,AIME,0.4562793239622763,0.8103930782506635,0.6333362011064699,0.018653778692871825
8,Hyb-FPDE,0.4506193281997057,0.7777460734441208,0.6141827008219133,0.050313665899803746
8,LIME,0.19629087400896925,0.5295077972410928,0.36289933562503096,0.08523519544501722
8,SHAP,0.42203419158939565,0.7620087904849446,0.5920214910371702,0.29602998135913666
9,AIME,0.4610471180963935,0.8128903120069948,0.6369687150516942,0.018563937065250863
9,Hyb-FPDE,0.4560531865504823,0.7773799429853274,0.6167165647679049,0.04961003457419817
9,LIME,0.2009637175564936,0.531442432413986,0.36620307498523974,0.08180840925732712
9,SHAP,0.43236124520298735,0.7689795182585171,0.6006703817307523,0.2924590080620733
10,AIME,0.4609622761030488,0.8094353939375931,0.635198835020321,0.01863928078880297
10,Hyb-FPDE,0.45520752543457416,0.7753365038490928,0.6152720146418335,0.05157781910923395
10,LIME,0.19912273005537823,0.5277718845989506,0.36344730732716446,0.08302051405116995
10,SHAP,0.4302167101669709,0.7642364671110727,0.5972265886390218,0.2951868721741095
