dataset,fold,method,n,n_unique_samples,n_rows,random_repetitions_mean,evidence_mean,evidence_std,evidence_median,evidence_n,prototype_margin_mean,prototype_margin_std,prototype_margin_median,prototype_margin_n,selection_margin_mean,selection_margin_std,selection_margin_median,selection_margin_n,evaluation_evidence_mean,evaluation_evidence_std,evaluation_evidence_median,evaluation_evidence_n,evaluation_margin_mean,evaluation_margin_std,evaluation_margin_median,evaluation_margin_n,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,abs_exactness_residual_n,deletion_drop_auc_mean,deletion_drop_auc_std,deletion_drop_auc_median,deletion_drop_auc_n,insertion_gain_auc_mean,insertion_gain_auc_std,insertion_gain_auc_median,insertion_gain_auc_n,combined_score_mean,combined_score_std,combined_score_median,combined_score_n,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_n,prototype_margin_positive_rate,n_positive_margin,n_negative_margin,selection_margin_positive_rate,n_selection_positive_margin,n_selection_negative_margin
esc50,1,dynamic_cos,400,400,400,,-0.16741184939183648,0.2605722454560801,-0.0976468906386466,400,-0.16741184939183648,0.2605722454560801,-0.0976468906386466,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-0.16741184939183648,0.2605722454560801,-0.0976468906386466,400,-0.16741184939183648,0.2605722454560801,-0.0976468906386466,400,3.1065102747140913e-17,4.8413194462773834e-17,1.3877787807814457e-17,400,0.7842751768241274,5.882238549875196,-0.2104397502036399,400,0.7842751768241274,5.882238549875196,-0.2104397502036399,400,0.7842751768241274,5.882238549875196,-0.2104397502036399,400,0.007087886750050529,0.0014717995844369112,0.006279389244427875,400,0.2525,101,299,0.2425,97,303
esc50,1,dynamic_diff,400,400,400,,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,9.519940391555793e-14,1.463335356842263e-13,2.842170943040401e-14,400,0.7421301501936775,5.880253799411962,-0.2303617931683966,400,0.7421301501936775,5.880253799411962,-0.23036179316839656,400,0.7421301501936775,5.880253799411962,-0.23036179316839658,400,0.007427604500262533,0.0014309749651103714,0.006606171750172507,400,0.2425,97,303,0.2425,97,303
esc50,1,dynamic_hyb,400,400,400,,-0.20939923976714855,0.31423724343967047,-0.20391116498173906,400,-0.20939923976714855,0.31423724343967047,-0.20391116498173906,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-0.20939923976714855,0.31423724343967047,-0.20391116498173906,400,-0.20939923976714855,0.31423724343967047,-0.20391116498173906,400,3.3837407702186354e-17,4.331618231792274e-17,1.3877787807814457e-17,400,0.7719626596804059,5.913587681640794,-0.20520314228010625,400,0.7719626596804059,5.913587681640793,-0.20520314228010617,400,0.7719626596804059,5.913587681640793,-0.20520314228010622,400,0.006891286000045511,0.0014092204721549168,0.00648529874808446,400,0.2475,99,301,0.2425,97,303
esc50,1,energy_baseline,400,400,400,,-583.7121822716682,1031.7517046234138,-405.2199574182564,400,-583.7121822716682,1031.7517046234138,-405.2199574182564,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716682,1031.7517046234138,-405.2199574182564,400,-583.7121822716682,1031.7517046234138,-405.2199574182564,400,,,,0,-0.3201054514052475,5.207368745324153,-0.39489135214727306,400,-0.32010545140524754,5.207368745324153,-0.39489135214727306,400,-0.32010545140524754,5.207368745324153,-0.39489135214727306,400,0.006727442500105099,0.0015340335254078192,0.006422200000088196,400,0.2425,97,303,0.2425,97,303
esc50,1,random_baseline,400,400,2000,5.0,-583.7121822716682,1031.7517046234138,-405.21995741825646,400,-583.7121822716682,1031.7517046234138,-405.21995741825646,400,-583.7121822716681,1031.7517046234138,-405.21995741825646,400,-583.7121822716682,1031.7517046234138,-405.21995741825646,400,-583.7121822716682,1031.7517046234138,-405.21995741825646,400,,,,0,-0.19728456678145898,0.4740899087500311,-0.4964368724861211,400,-0.197284566781459,0.474089908750031,-0.4964368724861211,400,-0.197284566781459,0.47408990875003104,-0.4964368724861211,400,0.0065960178500863555,0.0012152535658129333,0.006439590000809403,400,0.2425,97,303,0.2425,97,303
esc50,2,dynamic_cos,400,400,400,,-0.15175585105835585,0.23307918716170353,-0.13045736654953377,400,-0.15175585105835585,0.23307918716170353,-0.13045736654953377,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-0.15175585105835585,0.23307918716170353,-0.13045736654953377,400,-0.15175585105835585,0.23307918716170353,-0.13045736654953377,400,2.0860049798621106e-17,2.973545378222515e-17,6.938893903907228e-18,400,2.6311152755387663,46.39570092516949,-0.23699615557780604,400,2.6311152755387663,46.39570092516949,-0.236996155577806,400,2.6311152755387663,46.39570092516949,-0.236996155577806,400,0.006407980750027491,0.0010187196904043539,0.006370242250632145,400,0.2825,113,287,0.27,108,292
esc50,2,dynamic_diff,400,400,400,,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,1.2247092229245026e-13,2.7417288512661363e-13,2.842170943040401e-14,400,2.590167207075023,46.881169246879715,-0.2290802112128713,400,2.590167207075024,46.881169246879715,-0.22908021121287137,400,2.590167207075024,46.881169246879715,-0.22908021121287134,400,0.006389227000017855,0.0009847075525530485,0.006544492247267044,400,0.27,108,292,0.27,108,292
esc50,2,dynamic_hyb,400,400,400,,-0.18991161347648375,0.3048327346418917,-0.22746643110060835,400,-0.18991161347648375,0.3048327346418917,-0.22746643110060835,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-0.18991161347648375,0.3048327346418917,-0.22746643110060835,400,-0.18991161347648375,0.3048327346418917,-0.22746643110060835,400,3.6924673388338824e-17,4.516335411033638e-17,2.7755575615628914e-17,400,2.6530351305853754,46.92761457147585,-0.2225163184277171,400,2.653035130585376,46.927614571475864,-0.22251631842771707,400,2.6530351305853754,46.92761457147585,-0.22251631842771707,400,0.006357599250040948,0.0009545649548629014,0.0063425922496935525,400,0.2875,115,285,0.27,108,292
esc50,2,energy_baseline,400,400,400,,-599.0756692313819,1146.2539100608415,-439.4874409371377,400,-599.0756692313819,1146.2539100608415,-439.4874409371377,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.4874409371377,400,-599.0756692313819,1146.2539100608415,-439.4874409371377,400,,,,0,-2.429018707896497,44.60785526501703,-0.3944489873858941,400,-2.429018707896497,44.60785526501703,-0.39444898738589407,400,-2.429018707896497,44.60785526501703,-0.3944489873858941,400,0.006721022249967064,0.0010204969143044946,0.006506100002297899,400,0.27,108,292,0.27,108,292
esc50,2,random_baseline,400,400,2000,5.0,-599.075669231382,1146.2539100608415,-439.48744093713776,400,-599.075669231382,1146.2539100608415,-439.48744093713776,400,-599.0756692313819,1146.2539100608415,-439.48744093713776,400,-599.075669231382,1146.2539100608415,-439.48744093713776,400,-599.075669231382,1146.2539100608415,-439.48744093713776,400,,,,0,-0.1881325189559351,0.9164117787316386,-0.49666266714667373,400,-0.1881325189559348,0.9164117787316435,-0.49666266714667373,400,-0.18813251895593497,0.9164117787316411,-0.49666266714667373,400,0.006807186850070138,0.0008602503655551313,0.007085200000437908,400,0.27,108,292,0.27,108,292
