dataset,fold,seed,sample_id,true_label,target_label,rival_label,common_rival_label,method,lambda_hyb,evidence,evidence_role,evaluation_evidence,evaluation_margin,prototype_margin,prototype_margin_positive,prototype_margin_sign,selection_margin,selection_margin_positive,selection_margin_sign,selection_margin_source,exactness_residual,abs_exactness_residual,deletion_drop_auc,insertion_gain_auc,combined_score,runtime_sec,T,F,random_repetition,aggregation_unit
esc50,1,0,1-11687-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_diff,,-1294.2347654402024,explanation_margin,-1294.2347654402024,-1294.2347654402024,-1294.2347654402024,False,negative,-1294.2347654402024,False,negative,dynamic_diff,0.0,0.0,-0.22944423141753445,-0.22944423141753442,-0.22944423141753445,0.005021199998736847,216,19,,sample
esc50,1,0,1-11687-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_cos,,-0.3192946588832551,explanation_margin,-0.3192946588832551,-0.3192946588832551,-0.3192946588832551,False,negative,-1294.2347654402024,False,negative,dynamic_diff,0.0,0.0,-0.22875735774458883,-0.2287573577445888,-0.22875735774458883,0.005128699998749653,216,19,,sample
esc50,1,0,1-11687-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_hyb,0.25,-0.28012751034111816,explanation_margin,-0.28012751034111816,-0.28012751034111816,-0.28012751034111816,False,negative,-1294.2347654402024,False,negative,dynamic_diff,0.0,0.0,-0.2284443948131152,-0.2284443948131152,-0.2284443948131152,0.004960199999914039,216,19,,sample
esc50,1,0,1-11687-A-47,airplane,airplane,brushing_teeth,brushing_teeth,energy_baseline,,-1294.2347654402024,evaluation_margin,-1294.2347654402024,-1294.2347654402024,-1294.2347654402024,False,negative,-1294.2347654402024,False,negative,dynamic_diff,,,-0.7691299591035768,-0.7691299591035768,-0.7691299591035768,0.005038799998146715,216,19,,sample
esc50,1,0,1-11687-A-47,airplane,airplane,brushing_teeth,brushing_teeth,random_baseline,,-1294.2347654402024,evaluation_margin,-1294.2347654402024,-1294.2347654402024,-1294.2347654402024,False,negative,-1294.2347654402024,False,negative,dynamic_diff,,,-0.4965762976132398,-0.49657629761323974,-0.49657629761323974,0.004972499998984858,216,19,0,sample_repetition
esc50,1,0,1-24796-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_diff,,-2382.0521862533415,explanation_margin,-2382.0521862533415,-2382.0521862533415,-2382.0521862533415,False,negative,-2382.0521862533415,False,negative,dynamic_diff,0.0,0.0,-0.5533746831315787,-0.5533746831315789,-0.5533746831315788,0.004916699999739649,216,19,,sample
esc50,1,0,1-24796-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_cos,,-0.5078983562340718,explanation_margin,-0.5078983562340718,-0.5078983562340718,-0.5078983562340718,False,negative,-2382.0521862533415,False,negative,dynamic_diff,0.0,0.0,-0.5301950033113625,-0.5301950033113625,-0.5301950033113625,0.005323199999111239,216,19,,sample
esc50,1,0,1-24796-A-47,airplane,airplane,brushing_teeth,brushing_teeth,dynamic_hyb,0.25,-0.48647678972354425,explanation_margin,-0.48647678972354425,-0.48647678972354425,-0.48647678972354425,False,negative,-2382.0521862533415,False,negative,dynamic_diff,0.0,0.0,-0.5444489692978278,-0.5444489692978278,-0.5444489692978278,0.005374600001232466,216,19,,sample
esc50,1,0,1-24796-A-47,airplane,airplane,brushing_teeth,brushing_teeth,energy_baseline,,-2382.0521862533415,evaluation_margin,-2382.0521862533415,-2382.0521862533415,-2382.0521862533415,False,negative,-2382.0521862533415,False,negative,dynamic_diff,,,-0.5734016925223291,-0.5734016925223291,-0.5734016925223291,0.005278399999951944,216,19,,sample
esc50,1,0,1-24796-A-47,airplane,airplane,brushing_teeth,brushing_teeth,random_baseline,,-2382.0521862533415,evaluation_margin,-2382.0521862533415,-2382.0521862533415,-2382.0521862533415,False,negative,-2382.0521862533415,False,negative,dynamic_diff,,,-0.49774914948719473,-0.49774914948719473,-0.49774914948719473,0.00481220000074245,216,19,0,sample_repetition
