candidate_id,status,fpde_mode,method_variant,normalize,lambda_hyb,lambda_grid_mode,anchor_strategy,selection_objective,validation_metric_source,score,mean_combined_score,mean_deletion_drop_auc,mean_insertion_auc,mean_deletion_auc,mean_p0,mean_evidence,mean_exactness_abs_residual,n_eval_samples,n_success,n_error,task_id,dataset_name,selected_lambda
0,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7581392419443966,0.7581392419443966,0.5766077018467817,0.9396707820420113,0.3778539827505422,0.954461684597324,0.4442957840893051,7.596841992280056e-17,200,200,0,14952,PhishingWebsites,0.9
1,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.1,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7581420234066861,0.7581420234066861,0.5766077018467817,0.9396763449665906,0.3778539827505422,0.954461684597324,0.4447421368139182,7.850491090533041e-17,200,200,0,14952,PhishingWebsites,0.9
2,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.2,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7581520149829202,0.7581520149829202,0.5766239191912383,0.939680110774602,0.37783776540608555,0.954461684597324,0.4451884895385315,7.709761648544422e-17,200,200,0,14952,PhishingWebsites,0.9
3,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.3,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7582784146171795,0.7582784146171795,0.5768545994812603,0.9397022297530989,0.37760708511606367,0.954461684597324,0.44563484226314465,7.454540457141334e-17,200,200,0,14952,PhishingWebsites,0.9
4,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.4,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7583275036412259,0.7583275036412259,0.5768622781797701,0.9397927291026815,0.3775994064175537,0.954461684597324,0.44608119498775795,6.610597486078618e-17,200,200,0,14952,PhishingWebsites,0.9
5,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.5,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7584390422243245,0.7584390422243245,0.5770652695612494,0.9398128148873997,0.3773964150360745,0.954461684597324,0.44652754771237096,6.707308319864324e-17,200,200,0,14952,PhishingWebsites,0.9
6,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.6,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7605592363444421,0.7605592363444421,0.5784750673194052,0.9426434053694789,0.3759866172779185,0.954461684597324,0.44697390043698426,6.903332072649704e-17,200,200,0,14952,PhishingWebsites,0.9
7,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.7,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.760565173584562,0.760565173584562,0.5784831759916337,0.9426471711774902,0.37597850860569026,0.954461684597324,0.44742025316159745,6.504779354044033e-17,200,200,0,14952,PhishingWebsites,0.9
8,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.8,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7605603152193338,0.7605603152193338,0.5784750673194053,0.9426455631192622,0.3759866172779185,0.954461684597324,0.4478666058862107,6.053317569421069e-17,200,200,0,14952,PhishingWebsites,0.9
9,ok,hyb_grid,hyb_fpde_grid_validation,l1,0.9,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.7605948214073571,0.7605948214073571,0.5785571724193475,0.9426324703953668,0.3759045121779765,0.954461684597324,0.4483129586108238,6.78103406759334e-17,200,200,0,14952,PhishingWebsites,0.9
10,ok,hyb_grid,hyb_fpde_grid_validation,l1,1.0,grid_candidate_lambda_hyb,mean,deletion_insertion_validation,heldout_deletion_insertion,0.760550811059143,0.760550811059143,0.5785655405143162,0.9425360816039698,0.3758961440830076,0.954461684597324,0.448759311335437,7.66053886991358e-17,200,200,0,14952,PhishingWebsites,0.9
