task_id,dataset_name,split_name,method,status,error,explained_index,explained_order,n_features_transformed,n_train_fit,n_val,n_test,n_classes,true_label_encoded,pred_label_encoded,target_label_encoded,pred_target_probability,runtime_seconds,attr_l1_norm,evidence,lambda_hyb,exactness_residual,p0,deletion_auc,deletion_drop_auc,insertion_auc,combined_score,test_accuracy,test_balanced_accuracy,test_log_loss
29,credit-approval,openml_repeat0_fold0_sample0,diff_fpde,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.0042123970000034205,7.161293972900386,5.083295028286799,,-3.552713678800501e-15,0.9908596120848057,0.11017115670598834,0.8806884553788173,0.9053417502146621,0.8930151027967397,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,cos_fpde,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.0041096420000030776,1.4745668642962633,1.086551389083545,,-4.440892098500626e-16,0.9908596120848057,0.06368067230167052,0.9271789397831351,0.94759031937689,0.9373846295800126,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,hyb_fpde_grid,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.0060788740000106145,1.0000000000000002,0.7260484835672805,0.4,1.1102230246251565e-16,0.9908596120848057,0.06368067230167052,0.9271789397831351,0.94759031937689,0.9373846295800126,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,shap,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.12095099199999026,5.752810217105777,,,,0.9908596120848057,0.8552629842214222,0.13559662786338345,0.21125455877767446,0.17342559332052895,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,lime,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.01218324600000642,0.61051706978843,,,,0.9908596120848057,0.8483976696349347,0.14246194244987098,0.16976581367960272,0.15611387806473687,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,aime,ok,,0,0,46,496,125,69,2,1,0,0,0.9908596120848057,0.010639246000010871,7.299427726871267,,,,0.9908596120848057,0.06376328465852871,0.9270963274262769,0.9546253347193943,0.9408608310728356,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,diff_fpde,ok,,1,1,46,496,125,69,2,1,1,1,0.9655482922548393,0.00625256600000057,7.001411045113044,6.293675751272672,,1.7763568394002505e-15,0.9655482922548393,0.8391303267752686,0.12641796547957074,0.9842650688396952,0.555341517159633,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,cos_fpde,ok,,1,1,46,496,125,69,2,1,1,1,0.9655482922548393,0.006039143999998942,1.4066381203382752,1.2489256834677813,,0.0,0.9655482922548393,0.8391303267752686,0.12641796547957074,0.9842650688396952,0.555341517159633,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,hyb_fpde_grid,ok,,1,1,46,496,125,69,2,1,1,1,0.9655482922548393,0.01016915700000709,1.0,0.8922940609195749,0.4,0.0,0.9655482922548393,0.8391303267752686,0.12641796547957074,0.9842650688396952,0.555341517159633,0.8840579710144928,0.882051282051282,0.33516332613209704
29,credit-approval,openml_repeat0_fold0_sample0,shap,ok,,1,1,46,496,125,69,2,1,1,1,0.9655482922548393,0.06530198900000528,4.964348454141699,,,,0.9655482922548393,0.6773094489053851,0.28823884334945415,0.989199349624104,0.638719096486779,0.8840579710144928,0.882051282051282,0.33516332613209704
